club_name,league_name,country,total_spent_m,total_received_m,net_profit_m,n_buys,n_sells
1. FC Köln,1 Bundesliga,Germany,123.8,93.9,-29.9,63,67
1.FC Kaiserslautern,1 Bundesliga,Germany,10.3,4.5,-5.8,18,15
1.FC Nuremberg,1 Bundesliga,Germany,17.8,22.0,4.2,38,35
1.FC Union Berlin,1 Bundesliga,Germany,55.4,56.7,1.3,45,40
1.FSV Mainz 05,1 Bundesliga,Germany,184.4,265.4,80.9,100,91
AC Ajaccio,Ligue 1,France,0.5,1.6,1.1,31,28
AC Cesena,Serie A,Italy,24.2,26.4,2.3,30,30
AC Milan,Serie A,Italy,966.7,442.5,-524.3,115,160
AC Monza,Serie A,Italy,18.0,0.0,-18.0,9,2
AC Siena,Serie A,Italy,22.7,29.4,6.7,22,21
ACF Fiorentina,Serie A,Italy,502.4,521.8,19.5,120,143
ADO Den Haag,Eredivisie,Netherlands,0.9,13.1,12.2,67,99
AFC Bournemouth,Premier League,England,350.2,79.0,-271.2,41,30
AJ Auxerre,Ligue 1,France,11.0,6.4,-4.6,18,19
AS Bari,Serie A,Italy,8.7,15.5,6.8,4,4
AS Livorno,Serie A,Italy,2.1,1.8,-0.3,6,7
AS Monaco,Ligue 1,France,958.8,1128.7,169.9,95,112
AS Nancy-Lorraine,Ligue 1,France,11.9,34.4,22.5,21,27
AS Roma,Serie A,Italy,962.8,896.8,-66.0,134,182
AS Saint-Étienne,Ligue 1,France,123.5,228.5,105.0,66,82
AZ Alkmaar,Eredivisie,Netherlands,74.5,260.8,186.3,66,102
Académica Coimbra,Liga Nos,Portugal,0.1,4.1,3.9,39,56
Ajax Amsterdam,Eredivisie,Netherlands,419.0,907.1,488.1,70,116
Amiens SC,Ligue 1,France,31.3,21.4,-9.8,24,22
Angers SCO,Ligue 1,France,51.5,157.1,105.6,67,63
Arminia Bielefeld,1 Bundesliga,Germany,9.8,0.4,-9.4,17,18
Arsenal FC,Premier League,England,1277.5,487.8,-789.7,71,93
Aston Villa,Premier League,England,674.0,331.7,-342.3,72,75
Atalanta BC,Serie A,Italy,469.2,514.8,45.6,100,135
Athletic Bilbao,Primera Division,Spain,116.0,221.0,105.0,27,58
Athlétic Club Arlésien,Ligue 1,France,0.0,0.5,0.5,14,12
Atlético de Madrid,Primera Division,Spain,1151.4,1023.2,-128.2,90,92
Bayer 04 Leverkusen,1 Bundesliga,Germany,524.6,484.6,-40.0,79,94
Bayern Munich,1 Bundesliga,Germany,925.3,465.4,-459.9,59,69
Belenenses SAD,Liga Nos,Portugal,0.1,5.5,5.5,22,25
